standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Colbert County,N/A,2025-08-04,20
AL,Alabama,ARREST,Montgomery County,STATEWIDE,N/A,2024-05-02,1023
AL,Alabama,ARREST,Blount County,Blount,N/A,2025-07-07,12909
AL,Alabama,ARREST,Marshall County,Marshall,N/A,2025-07-07,54903
AL,Alabama,ARREST,Alabama Arrest,Houston County,N/A,2025-07-22,964
AL,Alabama,ARREST,Alabama Arrest,Lowndes County,N/A,2025-07-22,499
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Marion County,N/A,2025-08-04,24
AL,Alabama,ARREST,Marshall County,STATEWIDE,N/A,2024-05-02,1155
AL,Alabama,ARREST,Franklin County,Franklin,N/A,2025-07-07,10536
AL,Alabama,ARREST,Talladega County,Talladega,N/A,2025-07-07,49481
AL,Alabama,ARREST,Morgan County,STATEWIDE,N/A,2024-05-02,66
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Autauga County,N/A,2025-08-02,43
AL,Alabama,ARREST,Monroe County,STATEWIDE,N/A,2025-07-07,1344
AL,Alabama,ARREST,Arrest/Us/National/Arrests,Houston County,N/A,2025-08-04,117
AL,Alabama,ARREST,Covington County,Covington,N/A,2025-07-07,99963
AL,Alabama,ARREST,Alabama Arrest,Washington County,N/A,2025-07-22,79
AL,Alabama,ARREST,Alabama Arrest,Coosa County,N/A,2025-07-22,125
AL,Alabama,ARREST,Autauga County,STATEWIDE,N/A,2024-05-02,387
AL,Alabama,ARREST,Alabama Arrest,Cherokee County,N/A,2025-07-22,363
AL,Alabama,ARREST,Etowah County,STATEWIDE,N/A,2024-05-02,88
AL,Alabama,ARREST,Fayette County,Fayette,N/A,2025-07-07,5660
AL,Alabama,ARREST,Winston County,STATEWIDE,N/A,2024-05-02,115
AL,Alabama,COURT,Jefferson County Clerk Of Courts,Jefferson,COUNTY,2024-05-02,1115
AL,Alabama,WARRANT,Al Etowah County Warrant,Etowah,N/A,2024-05-02,4232
AL,Alabama,ARREST,Pickens County,Pickens,N/A,2025-07-07,6575
AL,Alabama,ARREST,Chilton County,Chilton,N/A,2025-07-07,30502
AL,Alabama,ARREST,Dekalb County,De Kalb,N/A,2025-07-07,70304
AL,Alabama,ARREST,Alabama Arrest,Dale County,N/A,2025-07-22,370
